"Carimbo de data/hora","Como você avalia a interface do aplicativo?","Você ficou satisfeito com as funcionalidades do aplicativo?","Você encontrou o que esperava no aplicativo?","Caso você tenha tido algum problema durante sua experiência, qual dos pontos abaixo foi o maior problema com o protótipo do aplicativo móvel?","Se puder descrever suas dificuldades com mais detalhes, escreva abaixo","Algum feedback positivo ou negativo sobre o aplicativo?"
"2022/12/11 9:02:42 PM GMT-3","5","5","Sim","","","Sistema muito top.."
"2022/12/11 9:03:38 PM GMT-3","4","4","Sim","o aplicativo estava faltando recursos que eu precisava","Eu tenhooutras ideas","Telas muito agradaveis"
"2022/12/11 9:06:51 PM GMT-3","4","5","Sim","","","Aplicativo bem completo."
"2022/12/11 9:08:20 PM GMT-3","5","5","Sim","","",""
"2022/12/11 9:08:36 PM GMT-3","4","4","Sim","","",""
"2022/12/11 9:09:28 PM GMT-3","3","4","Sim","","","Achei de fácil utilização"
"2022/12/11 9:14:06 PM GMT-3","2","3","Sim","o aplicativo era visualmente desagradável","",""
"2022/12/11 9:14:39 PM GMT-3","5","5","Sim","","","Muito bom"
"2022/12/11 9:15:11 PM GMT-3","4","4","Sim","","","Muito Bom"
"2022/12/11 9:15:29 PM GMT-3","4","3","Sim","","",""
